"","18-34 years old","35-54 years old","55+ years old"
"",0.47,3.27,0.93
"Argentina",0,0.47,0
"Australia",0.47,2.8,1.4
"Austria",0,0.93,0.47
"Belgium",0.47,0,0
"Brazil",0,1.4,0
"Cambodia",0,0.47,0
"Canada",0.93,2.8,1.87
"Chile",0,0.93,0.47
"China",1.87,6.07,0.47
"Cyprus",0,0.47,0
"Czech Republic",0.47,0.93,0
"Denmark",0,1.4,0
"Ethiopia",0,0.47,0
"Finland",0.47,0.93,0.47
"France",0.47,0.93,0
"Germany",0.47,2.34,0.47
"Greece",0,0.93,0
"Hong Kong (S.A.R.)",0,0.47,0.47
"India",0.47,1.4,0.47
"Israel",0,0.93,0.47
"Italy",0,2.34,0.47
"Lebanon",0.47,0,0
"Mexico",0.47,1.87,0
"Netherlands",0.47,1.87,0.47
"New Zealand",0.47,0.93,0
"Norway",0.47,0.47,0
"Poland",0,1.4,0.47
"Portugal",0.47,1.4,0
"Romania",0,0.47,0
"Russian Federation",0,0,0.47
"Slovakia",0.47,0,0
"South Africa",0.47,0.93,0
"Spain",0.47,0.47,0.93
"Sweden",0,1.87,0.47
"Switzerland",0.47,0.93,0
"Thailand",0,0.93,0
"Turkey",0,0.93,0
"United Kingdom of Great Britain and Northern Ireland",1.87,4.21,1.87
"United States of America",6.54,10.75,4.67
"Zimbabwe",0,0.47,0
