"","Not at all","Somewhat","To a great extent","Very little"
"",1.4,1.4,1.87,0
"Argentina",0,0,0,0.47
"Australia",0.47,1.4,2.8,0
"Austria",0,0.47,0.47,0.47
"Belgium",0,0.47,0,0
"Brazil",0,0,1.4,0
"Cambodia",0,0.47,0,0
"Canada",0,2.34,2.8,0.47
"Chile",0,0,0.93,0.47
"China",0,4.21,3.27,0.93
"Cyprus",0,0,0.47,0
"Czech Republic",0,0.47,0.93,0
"Denmark",0,0.47,0.93,0
"Ethiopia",0,0.47,0,0
"Finland",0,0.93,0.93,0
"France",0,0.93,0.47,0
"Germany",0,0.93,2.34,0
"Greece",0,0.47,0.47,0
"Hong Kong (S.A.R.)",0.47,0,0,0.47
"India",0,1.4,0.93,0
"Israel",0,0.47,0.93,0
"Italy",0,0.93,1.87,0
"Lebanon",0,0.47,0,0
"Mexico",0,1.4,0.47,0.47
"Netherlands",0,0,1.87,0.93
"New Zealand",0,0,1.4,0
"Norway",0,0.47,0.47,0
"Poland",0,0.93,0,0.93
"Portugal",0,0,1.87,0
"Romania",0,0.47,0,0
"Russian Federation",0.47,0,0,0
"Slovakia",0,0,0,0.47
"South Africa",0,0.47,0.93,0
"Spain",0,0.47,0.93,0.47
"Sweden",0.47,0.47,1.4,0
"Switzerland",0,0.47,0.93,0
"Thailand",0,0.47,0.47,0
"Turkey",0,0,0.93,0
"United Kingdom of Great Britain and Northern Ireland",0,4.67,2.8,0.47
"United States of America",0,5.61,15.89,0.47
"Zimbabwe",0,0,0,0.47
