"","Quantitative","Qualitative","Mixed Methods","NA"
"0",0,15.62,0,0
"0.11",1.28,0,0,0
"1",0,3.12,1.32,0
"3",1.28,0,0,0
"5",1.28,9.38,2.63,0
"10",2.56,15.62,3.95,0
"15",1.28,6.25,0,0
"20",1.28,6.25,0,0
"25",2.56,6.25,0,0
"30",8.97,6.25,3.95,0
"35",0,0,1.32,0
"40",2.56,0,3.95,0
"45",0,3.12,0,0
"50",24.36,12.5,23.68,0
"60",11.54,3.12,10.53,0
"65",1.28,0,1.32,0
"70",12.82,6.25,3.95,0
"75",3.85,0,9.21,0
"80",15.38,3.12,11.84,0
"85",1.28,0,2.63,0
"90",3.85,3.12,9.21,0
"95",0,0,2.63,0
"100",2.56,0,7.89,100
