"X.","X0","X1","Overall"
"","(N=11)","(N=21)","(N=32)"
"Conservative reproduction","","",""
"  Mean (SD)","0.200 (0.422)","0.381 (0.498)","0.323 (0.475)"
"  Median [Min, Max]","0 [0, 1.00]","0 [0, 1.00]","0 [0, 1.00]"
"  Missing","1 (9.1%)","0 (0%)","1 (3.1%)"
"Liberal reproduction","","",""
"  Mean (SD)","0.800 (0.422)","1.00 (0)","0.935 (0.250)"
"  Median [Min, Max]","1.00 [0, 1.00]","1.00 [1.00, 1.00]","1.00 [0, 1.00]"
"  Missing","1 (9.1%)","0 (0%)","1 (3.1%)"
"Proportion of results: Identically reproduce","","",""
"  All","0 (0%)","3 (14.3%)","3 (9.4%)"
"  Some","4 (36.4%)","16 (76.2%)","20 (62.5%)"
"  None","6 (54.5%)","2 (9.5%)","8 (25.0%)"
"  Don't Know","0 (0%)","0 (0%)","0 (0%)"
"  Missing","1 (9.1%)","0 (0%)","1 (3.1%)"
"Proportion of results: Partially reproduce","","",""
"  All","2 (18.2%)","5 (23.8%)","7 (21.9%)"
"  Some","6 (54.5%)","13 (61.9%)","19 (59.4%)"
"  None","2 (18.2%)","2 (9.5%)","4 (12.5%)"
"  Don't Know","0 (0%)","0 (0%)","0 (0%)"
"  Missing","1 (9.1%)","1 (4.8%)","2 (6.3%)"
